,フレーズ,,,作品名,,完全一致,一部一致,ongen
1,風立ちぬ,aeaiu,カゼタチヌ,風立ちぬ,,12345,,
2,彼は自分（に言い聞かせた）,aeaiu,カレハジブン,変身,,12345,,
3,（部）屋へ入る,eaeaiu,ヤへハイル,変身,,12345,,
4,重ねたりする,aaeaiuu,サネタリスル,銀河鉄道の夜,,12345,,
5,なぜ毎月,aeaiui,ナゼマイツキ,心,,12345,,
6,あの丘に,aooai,アノオカニ,山月記,,6789,,
7,ただのお菓子,aaooai,ダノオカシ,銀河鉄道の夜,,6789,,
8,お釈迦様のお足,oaaaaooai,マノオアシ,蜘蛛の糸,,6789,,
9,彼女はいつまでも,aooaiuaeo,カノジョハイ,風立ちぬ,,6789,,
10,,,,,,,,
11,孤独の匂い,oouoioi,こどくのにおい,人間失格,uoioi,"12,13","14,15,16,17,18,19,",11.mp3
12,うっとりとし,uoioi,,風立ちぬ,uoioi,"11,13","14,15,16,17,18,19,",12.mp3
13,僕と一緒に,ouoioi,ぼくといっしょに,銀河鉄道の夜,uoioi,"11,12","14,15,16,17,18,19,",13.mp3
14,どきっとして,oioie,,銀河鉄道の夜,oioie,"15,16,17","11,12,13,18,19",14.mp3
15,飛び降りて,oioie,とびおりて,銀河鉄道の夜,oioie,"14,16,17","11,12,13,18,19",15.mp3
16,バラの匂いで,aaoioie,ばらのにおいで,銀河鉄道の夜,oioie,"14,15,17","11,12,13,18,19",16.mp3
17,そっちを見て,oioie,そっちをみて,銀河鉄道の夜,oioie,"14,15,16","11,12,13,18,19",17.mp3
18,この気持ち,ooioi,このきもち,山月記,ooioi,19,"11,12,13,14,15,16,17",18.mp3
19,夜伽も一人,ooioioi,よとぎもひとり,風立ちぬ,ooioi,18,"11,12,13,14,15,16,17",19.mp3
20,巨大な毒虫,oaiaouui,きょだいなどくむし,変身,aouui,"21,22,23,24",,20.mp3
21,葉の玉をつるし,aoaaouui,はのたまをつるし,銀河鉄道の夜,aouui,"20,22,23,24",,21.mp3
22,なお数日,aouuiu,なおすうじつ,風立ちぬ,aouui,"20,21,23,24",,22.mp3
23,あの薄,aouui,あのすすき,風立ちぬ,aouui,"20,21,22,24",,23.mp3
24,母の留守に,aaouui,ははのるすに,人間失格,aouui,"20,21,22,23",,24.mp3
25,空坊主,aaouu,からぼうず,こころ,aaouu,,,25.mp3
26,ヨシちゃん、ごめんね,oiaoee,よしちゃんごめんね,人間失格,oiaoee,"27,28","29,30",26.mp3
27,大きな声で,ooiaoee,おおきなこえで,変身,oiaoee,"26,28","29,30",27.mp3
28,横に倒れて,ooiaoee,よこにたおれて,銀河鉄道の夜,oiaoee,"26,27","26,27,28",28.mp3
29,年が年なので,oiaoiaoe,としがとしなので,こころ,oiaoe,30,"26,27,28",29.mp3
30,試みたので,oooiaoe,こころみたので,風立ちぬ,oiaoe,29,"26,27,28",30.mp3
31,なお苦しくなります,aouuiuaiau,なおくるしくなります,こころ,,,,
32,あの躑躅の咲いている,aouuioaieiu,あのつつじのさいている,こころ,,,,
