,フレーズ,,,作品名,,完全一致,一部一致,ongen
11,孤独の匂い,oouoioi,こどくのにおい,人間失格,uoioi,"12,13","14,16,18,19,",11.mp3
12,うっとりとし,uoioi,,風立ちぬ,uoioi,"11,13","14,16,18,19,",12.mp3
13,僕と一緒に,ouoioi,ぼくといっしょに,銀河鉄道の夜,uoioi,"11,12","14,16,18,19,",13.mp3
14,どきっとして,oioie,,銀河鉄道の夜,oioie,"16","11,12,13,18,19",14.mp3
16,バラの匂いで,aaoioie,ばらのにおいで,銀河鉄道の夜,oioie,"14","11,12,13,18,19",16.mp3
18,この気持ち,ooioi,このきもち,山月記,ooioi,19,"11,12,13,14,16",18.mp3
19,夜伽も一人,ooioioi,よとぎもひとり,風立ちぬ,ooioi,18,"11,12,13,14,16",19.mp3
26,ヨシちゃん、ごめんね,oiaoee,よしちゃんごめんね,人間失格,oiaoee,"27,28","29,30",26.mp3
27,大きな声で,ooiaoee,おおきなこえで,変身,oiaoee,"26,28","29,30",27.mp3
28,横に倒れて,ooiaoee,よこにたおれて,銀河鉄道の夜,oiaoee,"26,27","26,27,28",28.mp3
29,年が年なので,oiaoiaoe,としがとしなので,こころ,oiaoe,30,"26,27,28",29.mp3
30,試みたので,oooiaoe,こころみたので,風立ちぬ,oiaoe,29,"26,27,28",30.mp3
31,恋をして,aouuiuaiau,こいをして,愛と美,oioie,14,"16,26,27,29",31.mp3
32,面白い,aouuioaieiu,あのつつじのさいている,阿Q正伝,ooioi,11,"12,13,18,19,33",32.mp3
33,この生命,ooioi,このいのち,舞姫,ooioi,11,"12,13,18,32",33.mp3
