,0
0,原文
1,読み
2,母音
0,には雲が流れてゐた
1,ニハクモガナガレテヰタ
2,iauoaaaeeia
0,山の上で、お弁当を食つたこともある……
1,ヤマノウエデ、オベントウヲクエツタコトモアル……
2,aaoueeoenououeuaoooau
0,なぞといふものは
1,ナゾトイフモノハ
2,aooiuooa
0,桜の花弁のやうに、
1,ザクラノカベンノヤウニ、
2,auaoaeoaui
0,んで散りゆくものだ
1,ンデチリユクモノダ
2,neiiuuooa
0,過去も遠いい過去もおんなじこつた
1,カコモトオイイカコモオンナジコツタ
2,aooooiiaooonaioua
0,過去はあんまりまざまざ顕現するし
1,カコハアンマリマザマザケンゲンスルシ
2,aoaanaiaaaaeneuui
0,い過去はあんまりもう手が届かない
1,イカコハアンマリモウテガトドカナイ
2,iaoaanaioueaooaai
0,に寝て、空をみるのも
1,ニネテ、ソラヲミルノモ
2,ieeoaoiuoo
0,にゐて、あの山をみるのも
1,ニヰテ、アノヤマヲミルノモ
2,iieaoaaoiuoo
0,は同じ、動くな動くな
1,ハドウジ、ウゴクナウゴクナ
2,aouiuouauoua
0,、枯草を背に敷いて
1,、カレクサヲセニシイテ
2,aeuaoeiiie
0,ぬくもつてゐることは
1,ヌクモツテヰルコトハ
2,uuoueiuooa
0,の青が、少しく冷たくみえることは
1,ノアオガ、スコシクツメタクミエルコトハ
2,oaoauoiuueauieuooa
0,を喫ふなぞといふことは
1,ヲ喫フナゾトイフコトハ
2,oiuuaooiuooa
